age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y
58,0,0,0,0,2143,1,0,5,1,261,1,-1,0,0
44,1,1,1,0,29,1,0,5,1,151,1,-1,0,0
33,2,0,1,0,2,1,1,5,1,76,1,-1,0,0
47,3,0,4,0,1506,1,0,5,1,92,1,-1,0,0
33,4,1,4,0,1,0,0,5,1,198,1,-1,0,0
35,0,0,0,0,231,1,0,5,1,139,1,-1,0,0
28,0,1,0,0,447,1,1,5,1,217,1,-1,0,0
42,2,3,0,1,2,1,0,5,1,380,1,-1,0,0
58,5,0,3,0,121,1,0,5,1,50,1,-1,0,0
43,1,1,1,0,593,1,0,5,1,55,1,-1,0,0
41,6,3,1,0,270,1,0,5,1,222,1,-1,0,0
29,6,1,1,0,390,1,0,5,1,137,1,-1,0,0
53,1,0,1,0,6,1,0,5,1,517,1,-1,0,0
58,1,0,4,0,71,1,0,5,1,71,1,-1,0,0
57,7,0,1,0,162,1,0,5,1,174,1,-1,0,0
51,5,0,3,0,229,1,0,5,1,353,1,-1,0,0
45,6,1,4,0,13,1,0,5,1,98,1,-1,0,0
57,3,0,3,0,52,1,0,5,1,38,1,-1,0,0
60,5,0,3,0,60,1,0,5,1,219,1,-1,0,0
33,7,0,1,0,0,1,0,5,1,54,1,-1,0,0
28,3,0,1,0,723,1,1,5,1,262,1,-1,0,0
56,0,0,0,0,779,1,0,5,1,164,1,-1,0,0
32,3,1,3,0,23,1,1,5,1,160,1,-1,0,0
25,7,0,1,0,50,1,0,5,1,342,1,-1,0,0
40,5,0,3,0,0,1,1,5,1,181,1,-1,0,0
44,6,0,1,0,-372,1,0,5,1,172,1,-1,0,0
39,0,1,0,0,255,1,0,5,1,296,1,-1,0,0
52,2,0,1,0,113,1,1,5,1,127,1,-1,0,0
46,0,1,1,0,-246,1,0,5,1,255,2,-1,0,0
36,1,1,1,0,265,1,1,5,1,348,1,-1,0,0
57,1,0,1,0,839,0,1,5,1,225,1,-1,0,0
49,0,0,0,0,378,1,0,5,1,230,1,-1,0,0
60,6,0,1,0,39,1,1,5,1,208,1,-1,0,0
59,3,0,1,0,0,1,0,5,1,226,1,-1,0,0
51,0,0,0,0,10635,1,0,5,1,336,1,-1,0,0
57,1,3,1,0,63,1,0,5,1,242,1,-1,0,0
25,3,0,1,0,-7,1,0,5,1,365,1,-1,0,0
53,1,0,1,0,-3,0,0,5,1,1666,1,-1,0,0
36,6,3,1,0,506,1,0,5,1,577,1,-1,0,0
37,6,1,1,0,0,1,0,5,1,137,1,-1,0,0
44,7,3,1,0,2586,1,0,5,1,160,1,-1,0,0
50,0,0,1,0,49,1,0,5,1,180,2,-1,0,0
60,3,0,4,0,104,1,0,5,1,22,1,-1,0,0
54,5,0,1,0,529,1,0,5,1,1492,1,-1,0,0
58,5,0,4,0,96,1,0,5,1,616,1,-1,0,0
36,6,1,3,0,-171,1,0,5,1,242,1,-1,0,0
58,8,0,0,0,-364,1,0,5,1,355,1,-1,0,0
44,1,0,1,0,0,1,0,5,1,225,2,-1,0,0
55,1,3,1,0,0,0,0,5,1,160,1,-1,0,0
29,0,1,0,0,0,1,0,5,1,363,1,-1,0,0
54,3,0,1,0,1291,1,0,5,1,266,1,-1,0,0
48,0,3,0,0,-244,1,0,5,1,253,1,-1,0,0
32,0,0,0,0,0,1,0,5,1,179,1,-1,0,0
42,6,1,1,0,-76,1,0,5,1,787,1,-1,0,0
24,1,1,1,0,-103,1,1,5,1,145,1,-1,0,0
38,2,1,0,0,243,0,1,5,1,174,1,-1,0,0
38,0,1,0,0,424,1,0,5,1,104,1,-1,0,0
47,3,0,4,0,306,1,0,5,1,13,1,-1,0,0
40,3,1,4,0,24,1,0,5,1,185,1,-1,0,0
46,7,0,3,0,179,1,0,5,1,1778,1,-1,0,0
32,6,0,0,0,0,1,0,5,1,138,1,-1,0,0
53,1,3,1,0,989,1,0,5,1,812,1,-1,0,0
57,3,0,3,0,249,1,0,5,1,164,1,-1,0,0
33,7,0,1,0,790,1,0,5,1,391,1,-1,0,0
49,3,0,4,0,154,1,0,5,1,357,1,-1,0,0
51,0,0,0,0,6530,1,0,5,1,91,1,-1,0,0
60,5,0,0,0,100,0,0,5,1,528,1,-1,0,0
59,0,3,0,0,59,1,0,5,1,273,1,-1,0,0
55,1,0,1,0,1205,1,0,5,1,158,2,-1,0,0
35,3,1,1,0,12223,1,1,5,1,177,1,-1,0,0
57,3,0,1,0,5935,1,1,5,1,258,1,-1,0,0
31,7,0,1,0,25,1,1,5,1,172,1,-1,0,0
54,0,0,1,0,282,1,1,5,1,154,1,-1,0,0
55,3,0,3,0,23,1,0,5,1,291,1,-1,0,0
43,1,0,1,0,1937,1,0,5,1,181,1,-1,0,0
53,1,0,1,0,384,1,0,5,1,176,1,-1,0,0
44,3,0,1,0,582,0,1,5,1,211,1,-1,0,0
55,7,3,1,0,91,0,0,5,1,349,1,-1,0,0
49,7,3,1,0,0,1,1,5,1,272,1,-1,0,0
55,7,3,1,1,1,1,0,5,1,208,1,-1,0,0
45,6,1,1,0,206,1,0,5,1,193,1,-1,0,0
47,7,3,1,0,164,0,0,5,1,212,1,-1,0,0
42,1,1,1,0,690,1,0,5,1,20,1,-1,0,0
59,6,0,1,0,2343,1,0,5,1,1042,1,-1,0,1
46,8,0,0,0,137,1,1,5,1,246,1,-1,0,0
51,3,0,3,0,173,1,0,5,1,529,2,-1,0,0
56,6,0,1,0,45,0,0,5,1,1467,1,-1,0,1
41,1,0,1,0,1270,1,0,5,1,1389,1,-1,0,1
46,0,3,1,0,16,1,1,5,1,188,2,-1,0,0
57,5,0,1,0,486,1,0,5,1,180,2,-1,0,0
42,0,1,1,0,50,0,0,5,1,48,1,-1,0,0
30,1,0,1,0,152,1,1,5,1,213,2,-1,0,0
60,6,0,1,0,290,1,0,5,1,583,1,-1,0,0
60,3,0,4,0,54,1,0,5,1,221,1,-1,0,0
57,2,3,1,0,-37,0,0,5,1,173,1,-1,0,0
36,0,0,0,0,101,1,1,5,1,426,1,-1,0,0
55,3,0,1,0,383,0,0,5,1,287,1,-1,0,0
60,5,0,0,0,81,1,0,5,1,101,1,-1,0,0
39,1,0,1,0,0,1,0,5,1,203,1,-1,0,0
46,0,0,0,0,229,1,0,5,1,197,1,-1,0,0
44,3,0,1,0,-674,1,0,5,1,257,1,-1,0,0
53,3,0,3,0,90,0,0,5,1,124,1,-1,0,0
52,3,0,3,0,128,1,0,5,1,229,1,-1,0,0
59,3,0,3,0,179,1,0,5,1,55,3,-1,0,0
27,1,1,0,0,0,1,0,5,1,400,1,-1,0,0
44,3,0,1,0,54,1,0,5,1,197,1,-1,0,0
47,1,0,0,0,151,1,0,5,1,190,1,-1,0,0
34,6,0,1,0,61,0,1,5,1,21,1,-1,0,0
59,5,1,1,0,30,1,0,5,1,514,1,-1,0,0
45,0,0,0,0,523,1,0,5,1,849,2,-1,0,0
29,7,3,1,0,31,1,0,5,1,194,1,-1,0,0
46,1,3,1,0,79,0,0,5,1,144,1,-1,0,0
56,8,0,3,0,-34,1,1,5,1,212,2,-1,0,0
36,3,0,3,0,448,1,0,5,1,286,1,-1,0,0
59,5,3,3,0,81,1,0,5,1,107,1,-1,0,0
44,3,0,1,0,144,1,0,5,1,247,2,-1,0,0
41,6,0,1,0,351,1,0,5,1,518,1,-1,0,0
33,0,1,0,0,-67,1,0,5,1,364,1,-1,0,0
59,0,3,0,0,262,0,0,5,1,178,1,-1,0,0
57,1,0,3,0,0,0,0,5,1,98,1,-1,0,0
56,1,3,4,0,56,1,0,5,1,439,1,-1,0,0
51,3,0,1,0,26,1,0,5,1,79,1,-1,0,0
34,6,0,4,0,3,1,0,5,1,120,3,-1,0,0
43,7,0,1,0,41,1,1,5,1,127,2,-1,0,0
52,1,0,0,0,7,0,1,5,1,175,1,-1,0,0
33,1,1,1,0,105,1,0,5,1,262,2,-1,0,0
29,6,1,1,0,818,1,1,5,1,61,1,-1,0,0
34,7,0,1,0,-16,1,1,5,1,78,1,-1,0,0
31,3,0,1,0,0,1,0,5,1,143,1,-1,0,0
55,7,0,1,0,2476,1,0,5,1,579,1,-1,0,1
55,0,0,4,0,1185,0,0,5,1,677,1,-1,0,0
32,6,1,1,0,217,1,0,5,1,345,1,-1,0,0
38,1,1,1,0,1685,1,0,5,1,185,1,-1,0,0
55,6,1,1,0,802,1,1,5,1,100,2,-1,0,0
28,9,1,0,0,0,1,0,5,1,125,2,-1,0,0
23,3,0,1,0,94,1,0,5,1,193,1,-1,0,0
32,1,1,1,0,0,1,0,5,1,136,1,-1,0,0
43,7,1,4,0,0,0,0,5,1,73,1,-1,0,0
32,3,0,1,0,517,1,0,5,1,528,1,-1,0,0
